rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;ISSUEDATE;EVENINGSESSION;DURATION;IS_QUALIFIED_INVESTORS;HIGH_RISK;COUPONFREQUENCY;YIELDATWAP;COUPONDATE;COUPONPERCENT;COUPONVALUE;COUPONDAYSPASSED;COUPONDAYSREMAIN;COUPONLENGTH;ISSUEDATE;INITIALFACEVALUE;SECSUBTYPE;STARTDATEMOEX;DAYSTOREDEMPTION;OFFERDATE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0
RU000A0ZYWU3;Система1P8;АФК Система БО 001P-08;Биржевые облигации;RU000A0ZYWU3;4B02-08-01669-A-001P;2;1000,0;RUB;15000000;0;0;TQCB;Т+: Облигации - безадрес.;23.02.2028;;07.03.2018;0;935;0;0;2;8,71;02.03.2022;9,000;44,88;52;130;182;07.03.2018;1000,0;;2018-03-07;2314;2024-09-02;"Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""";7703104630;1;101,25;1025,82;615,49;1436,15;584,72;1466,92;553,94;1497,7;40,0;300000;43,0;1500000;46,0;10,00;10,00
RU000A0ZYWY5;МТС 1P-06;Мобильные ТелеСистемы 001P-06;Биржевые облигации;RU000A0ZYWY5;4B02-06-04715-A-001P;1;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;26.02.2025;;07.03.2018;0;1095;0;0;2;7,95;02.03.2022;7,250;36,15;52;130;182;07.03.2018;1000,0;;2018-03-07;1222;;"Публичное акционерное общество ""Мобильные ТелеСистемы""";7740000076;1;98,17;992,43;853,49;1131,37;823,72;1161,14;793,94;1190,92;14,0;200000;17,0;1000000;20,0;10,00;10,00
RU000A0ZYWZ2;Совком 2В3;Совкомбанк ПАО обл. 2В03;Корпоративные облигации;RU000A0ZYWZ2;41400963B;1;100,0;USD;1500000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;21.02.2029;;07.03.2018;0;2101;0;0;2;;02.03.2022;8,250;4,11;52;130;182;07.03.2018;100,0;Субординированные облигации;2018-03-07;2678;;"Публичное акционерное общество ""Совкомбанк""";4401116480;100;117,93;8387,49;;16774,98;;16774,98;;16774,98;100,0;;;;;100,00;100,00
RU000A0ZYX28;Совком 1В2;Совкомбанк ПАО обл. 1В02;Корпоративные облигации;RU000A0ZYX28;41000963B;1;100,0;USD;1000000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;;;07.03.2018;0;;0;0;2;;02.03.2022;8,750;4,36;52;130;182;07.03.2018;100,0;Субординированные облигации;2018-03-07;;;"Публичное акционерное общество ""Совкомбанк""";4401116480;100;106,98;7621,6;;15243,2;;15243,2;;15243,2;100,0;;;;;100,00;100,00
RU000A0ZYX69;ФПК 1P-03;Федерал пассажир комп 001Р-03;Биржевые облигации;RU000A0ZYX69;4B02-03-55465-E-001P;2;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;23.02.2028;;07.03.2018;0;953;0;0;2;8,19;02.03.2022;7,200;35,9;52;130;182;07.03.2018;1000,0;;2018-03-07;2314;2024-09-02;"Акционерное общество ""Федеральная пассажирская компания""";7708709686;1;97,67;987,35;839,25;1135,45;809,63;1165,07;780,01;1194,69;15,0;200000;18,0;1000000;21,0;18,00;18,00
RU000A0ZYXJ4;РСХБ БО-5Р;Россельхозбанк АО БО-05Р;Биржевые облигации;RU000A0ZYXJ4;4B020503349B001P;2;1000,0;RUB;25000000;0;0;TQCB;Т+: Облигации - безадрес.;09.03.2022;;14.03.2018;0;138;0;0;2;7,73;09.03.2022;7,400;36,9;45;137;182;14.03.2018;1000,0;;2018-03-14;137;;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1;99,84;1007,93;927,3;1088,56;897,06;1118,8;866,82;1149,04;8,0;500000;11,0;2500000;14,0;10,00;10,00
RU000A0ZYXK2;2М ОбК01;2М ОбК01;Коммерческая облигация;RU000A0ZYXK2;4CDE-01-00370-R;;100000,0;RUB;135000000;0;0;OBBO;ОТС-система: облигации;07.03.2023;;;0;;0;0;2;;08.03.2022;14,000;6980,82;46;136;182;;100000,0;;;500;;;;1;;;;;;;;;100,0;;;;;;
RU000A0ZYXL0;Оптик Файбер обК01;Оптик Файбер обК01;Коммерческая облигация;RU000A0ZYXL0;4CDE-01-00369-R;;100000,0;RUB;175000000;0;0;OBBO;ОТС-система: облигации;07.03.2023;;;0;;0;0;2;;08.03.2022;14,000;6980,82;46;136;182;;100000,0;;;500;;;;1;;;;;;;;;100,0;;;;;;
RU000A0ZYXV9;Газпнф1P6R;Газпром нефть БО 001Р-06R;Биржевые облигации;RU000A0ZYXV9;4B02-06-00146-A-001P;3;1000,0;RUB;25000000;1;0;TQCB;Т+: Облигации - безадрес.;07.03.2024;;15.03.2018;0;805;0;0;2;7,62;10.03.2022;7,200;35,9;44;138;182;15.03.2018;1000,0;;2018-03-15;866;;"Публичное акционерное общество ""Газпром нефть""";5504036333;1;99,01;999,17;869,28;1129,06;839,3;1159,04;809,33;1189,01;13,0;500000;16,0;2500000;19,0;10,00;10,00
RU000A0ZYYE3;Ростел1P4R;Ростелеком ПАО 001P-04R;Биржевые облигации;RU000A0ZYYE3;4B02-04-00124-A-001P;1;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;03.03.2028;;16.03.2018;0;810;0;0;2;8,75;11.03.2022;7,150;35,65;43;139;182;16.03.2018;1000,0;;2018-03-16;2323;2024-03-13;"Публичное акционерное общество ""Ростелеком""";7707049388;1;97,96;988,42;850,04;1126,8;820,39;1156,45;790,74;1186,1;14,0;200000;17,0;1000000;20,0;11,00;10,00
RU000A0ZYYN4;RUS-29;ГОВОЗ РФ 12840080V (RU);Еврооблигации МинФина;RU000A0ZYYN4;12840080V;1;200000,0;USD;15000;1;1;TQOD;Т+: Облигации (USD) - безадрес.;21.03.2029;;21.03.2018;1;2360;0;0;2;;21.03.2022;4,375;4375,0;32;149;181;21.03.2018;200000,0;;2018-03-27;2706;;Министерство финансов Российской Федерации;7710168360;1;113,03;15971531,21;15013239,34;16929823,08;14853524,03;17089538,39;14693808,71;17249253,71;6,0;88;7,0;440;8,0;6,00;6,00
RU000A0ZYZS0;СТНТ БО-01;САМАРАТРАНСНЕФТЬ-ТЕРМИНАЛ БО-1;Биржевые облигации;RU000A0ZYZS0;4B02-01-36502-R;3;1000,0;RUB;3380000;0;0;TQRD;Т+: Облигации Д - безадрес.;20.03.2023;;26.03.2018;0;;0;1;2;;21.03.2022;10,000;49,86;33;149;182;26.03.2018;1000,0;;2018-03-26;513;2023-03-20;"Общество с ограниченной ответственностью ""САМАРАТРАНСНЕФТЬ-ТЕРМИНАЛ""";6367042944;1;10,12;110,79;;221,58;;221,58;;221,58;100,0;;;;;10,00;10,00
RU000A0ZZ083;ИКС5Фин1P3;ИКС 5 ФИНАНС 001P-03;Биржевые облигации;RU000A0ZZ083;4B02-03-36241-R-001P;1;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;08.03.2033;;27.03.2018;0;517;0;0;2;0,0;22.03.2022;0,010;0,05;32;150;182;27.03.2018;1000,0;;2018-03-27;4154;2023-03-24;"Общество с ограниченной ответственностью ""ИКС 5 ФИНАНС""";7715630469;1;89,09;890,9;534,54;1247,26;507,81;1273,99;481,09;1300,71;40,0;200000;43,0;1000000;46,0;8,00;8,00
RU000A0ZZ117;СберБ БО6R;Сбербанк ПАО БО 001Р-06R;Биржевые облигации;RU000A0ZZ117;4B020601481B001P;1;1000,0;RUB;40000000;1;0;TQCB;Т+: Облигации - безадрес.;19.05.2023;;25.05.2018;0;536;0;0;2;8,01;19.11.2021;7,200;35,9;155;27;182;25.05.2018;1000,0;;2018-05-25;573;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;98,83;1019,27;774,65;1263,89;744,07;1294,47;713,49;1325,05;24,0;800000;27,0;4000000;30,0;10,00;10,00
RU000A0ZZ1F6;КарМаниБ2;КарМани БО-1-2;Биржевые облигации;RU000A0ZZ1F6;4B02-02-00321-R-001P;3;1000,0;RUB;300000;0;0;TQIR;Т+ Облигации ПИР - безадрес.;10.05.2023;;06.04.2018;0;220;0;1;12;11,67;29.10.2021;14,500;12,32;25;6;31;06.04.2018;1000,0;;2018-04-06;564;2022-06-10;"Общество с ограниченной ответственностью Микрофинансовая компания ""КарМани""";7730634468;1;102,09;1031,63;;2063,26;;2063,26;;2063,26;100,0;;;;;10,00;10,00
RU000A0ZZ1H2;ОГК-2 1P3R;ОГК-2 ПАО БО 001P-03R;Биржевые облигации;RU000A0ZZ1H2;4B02-03-65105-D-001P;1;1000,0;RUB;5000000;1;0;TQCB;Т+: Облигации - безадрес.;31.03.2023;;06.04.2018;0;524;0;0;2;7,45;01.04.2022;0,100;0,5;22;160;182;06.04.2018;1000,0;;2018-04-06;524;;"Публичное акционерное общество ""Вторая генерирующая компания оптового рынка электроэнергии""";2607018122;1;90,08;900,87;801,77;999,97;774,75;1026,99;747,72;1054,02;11,0;100000;14,0;500000;17,0;10,00;10,00
RU000A0ZZ1J8;ГТЛК 1P-09;ГТЛК БО 001P-09;Биржевые облигации;RU000A0ZZ1J8;4B02-09-32432-H-001P;1;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;18.03.2033;;06.04.2018;0;970;0;0;4;8,96;31.12.2021;7,350;18,32;22;69;91;06.04.2018;1000,0;;2018-04-06;4164;2024-10-02;"акционерное общество ""Государственная транспортная лизинговая компания""";7720261827;1;96,52;970,03;824,53;1115,53;795,42;1144,64;766,32;1173,74;15,0;200000;18,0;1000000;21,0;17,00;10,00
RU000A0ZZ1M2;ПИК БО-П04;ПИК СЗ (ПАО) БО-П04;Биржевые облигации;RU000A0ZZ1M2;4B02-04-01556-A-001P;1;1000,0;RUB;7000000;0;0;TQCB;Т+: Облигации - безадрес.;24.03.2028;;06.04.2018;0;1907;0;0;2;8,16;01.04.2022;7,250;36,15;22;160;182;06.04.2018;1000,0;;2018-04-06;2344;;"Публичное акционерное общество ""ПИК-специализированный застройщик""";7713011336;1;99,38;998,57;;1997,14;;1997,14;;1997,14;100,0;;;;;10,00;10,00
RU000A0ZZ1N0;ДОМ 1P-3R;ДОМ.РФ АО 001Р-03R;Биржевые облигации;RU000A0ZZ1N0;4B02-03-00739-A-001P;1;1000,0;RUB;15000000;1;0;TQCB;Т+: Облигации - безадрес.;24.03.2028;;06.04.2018;0;340;0;0;2;10,51;01.04.2022;7,500;37,4;22;160;182;06.04.2018;1000,0;;2018-04-06;2344;2022-10-05;"Акционерное общество ""ДОМ.РФ""";7729355614;1;99,4;998,93;859,08;1138,78;829,11;1168,75;799,14;1198,72;14,0;300000;17,0;1500000;20,0;7,00;7,00
RU000A0ZZ1T7;ЧЭАЗ обК01;ЧЭАЗ обК01;Коммерческая облигация;RU000A0ZZ1T7;4CDE-01-55787-D;;1000,0;RUB;500000000;0;0;OBBO;ОТС-система: облигации;04.04.2023;;;0;;0;0;4;;04.01.2022;8,050;20,07;18;73;91;;1000,0;;;528;;;;1;;;;;;;;;100,0;;;;;;
RU000A0ZZ2A5;ДелПорт1P2;ДелоПортс ООО БО 001P-02;Биржевые облигации;RU000A0ZZ2A5;4B02-02-36485-R-001P;3;1000,0;USD;140000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;01.04.2025;;10.04.2018;0;;0;0;2;;05.04.2022;6,750;33,66;18;164;182;10.04.2018;1000,0;;2018-04-10;1256;;"Общество с ограниченной ответственностью ""ДелоПортс""";7706420120;1;111,91;79038,83;;158077,66;;158077,66;;158077,66;100,0;;;;;100,00;100,00
RU000A0ZZ2R9;Солид-Лизинг обКП07;Солид-Лизинг обКП07;Коммерческая облигация;RU000A0ZZ2R9;4CDE-07-00330-R-001P;;1000,0;RUB;36000000;0;0;OBBO;ОТС-система: облигации;05.04.2023;;;0;;0;0;2;;06.04.2022;11,000;54,85;17;165;182;;1000,0;;;529;;;;1;;;;;;;;;100,0;;;;;;
RU000A0ZZ2W9;СитиматБ2;Ситиматик АО БО-02;Биржевые облигации;RU000A0ZZ2W9;4B02-02-76600-H;3;1000,0;RUB;1750000;0;0;TQIR;Т+ Облигации ПИР - безадрес.;09.10.2030;;12.04.2018;0;;0;1;1;;11.10.2023;9,000;360,0;742;718;1460;12.04.2018;1000,0;;2018-04-12;3273;;"Акционерное общество ""Ситиматик""";7725727149;1;100,0;1183,45;;2366,9;;2366,9;;2366,9;100,0;;;;;10,00;10,00
RU000A0ZZ4P9;РЖД 1Р-06R;РЖД БО 001Р-06R;Биржевые облигации;RU000A0ZZ4P9;4B02-06-65045-D-001P;2;1000,0;RUB;15000000;1;0;TQCB;Т+: Облигации - безадрес.;04.04.2033;;23.04.2018;0;525;0;0;2;7,92;18.04.2022;7,250;36,15;5;177;182;23.04.2018;1000,0;;2018-04-23;4181;2023-04-20;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;98,53;986,69;878,15;1095,23;848,55;1124,83;818,95;1154,43;11,0;300000;14,0;1500000;17,0;10,00;10,00
RU000A0ZZ4T1;РСХБ 01Т1;Россельхозбанк (АО) обл. 01Т1;Корпоративные облигации;RU000A0ZZ4T1;42903349B;3;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;;;25.04.2018;0;;0;0;2;9,69;20.04.2022;9,000;44,88;3;179;182;25.04.2018;1000,0;Субординированные облигации;2018-04-25;;;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1;97,42;975,43;;1950,86;;1950,86;;1950,86;100,0;;;;;32,00;21,00
RU000A0ZZ505;РСХБ 09Т1;Россельхозбанк (АО) обл. 09Т1;Корпоративные облигации;RU000A0ZZ505;43703349B;3;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;;;26.04.2018;0;;0;0;2;9,54;21.04.2022;9,000;44,88;2;180;182;26.04.2018;1000,0;Субординированные облигации;2018-04-26;;;"Акционерное общество ""Российский Сельскохозяйственный банк""";7725114488;1;97,52;976,19;;1952,38;;1952,38;;1952,38;100,0;;;;;32,00;21,00
RU000A0ZZ5H3;ПочтаРБ1P4;Почта России (АО) БО-001P-04;Биржевые облигации;RU000A0ZZ5H3;4B02-04-00005-T-001P;3;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;24.04.2028;;07.05.2018;0;519;0;0;2;8,05;01.11.2021;7,700;38,39;173;9;182;07.05.2018;1000,0;;2018-05-07;2375;2023-05-04;"акционерное общество ""Почта России""";7724490000;1;98,98;1026,72;913,78;1139,66;882,98;1170,46;852,18;1201,26;11,0;100000;14,0;500000;17,0;16,00;16,00
RU000A0ZZ5J9;ПочтаРБ1P5;Почта России (АО) БО-001P-05;Биржевые облигации;RU000A0ZZ5J9;4B02-05-00005-T-001P;3;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;24.04.2028;;07.05.2018;0;519;0;0;2;7,9;01.11.2021;7,700;38,39;173;9;182;07.05.2018;1000,0;;2018-05-07;2375;2023-05-04;"акционерное общество ""Почта России""";7724490000;1;99,51;1032,02;918,5;1145,54;887,54;1176,5;856,58;1207,46;11,0;100000;14,0;500000;17,0;16,00;16,00
RU000A0ZZ5U6;СберИОС10;Сбербанк ПАО БCО 001P-10R;Биржевые облигации;RU000A0ZZ5U6;4B020801481B001P;3;1000,0;RUB;657512;0;0;TQCB;Т+: Облигации - безадрес.;19.11.2021;;25.05.2018;0;27;0;0;;0,0;19.11.2021;0,010;0,35;1247;27;1274;25.05.2018;1000,0;;2018-05-07;27;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;124,75;1247,5;;2495,0;;2495,0;;2495,0;100,0;;;;;13,00;10,00
RU000A0ZZ7C0;ДОМ 1P-4R;ДОМ.РФ АО 001Р-04R;Биржевые облигации;RU000A0ZZ7C0;4B02-04-00739-A-001P;1;1000,0;RUB;25000000;1;0;TQCB;Т+: Облигации - безадрес.;10.05.2028;;23.05.2018;0;405;0;0;2;7,69;15.12.2021;6,650;33,16;129;53;182;23.05.2018;1000,0;;2018-05-23;2391;2022-12-19;"Акционерное общество ""ДОМ.РФ""";7729355614;1;98,41;1007,97;907,17;1108,77;876,93;1139,01;846,69;1169,25;10,0;500000;13,0;2500000;16,0;7,00;7,00
RU000A0ZZ7E6;Якут-10 об;Республика Саха (Якутия) об.10;Региональные облигации;RU000A0ZZ7E6;RU35010RSY0;1;800,0;RUB;5500000;0;0;TQCB;Т+: Облигации - безадрес.;15.05.2025;;24.05.2018;0;770;0;0;4;8,31;18.11.2021;7,550;15,06;65;26;91;24.05.2018;1000,0;;2018-05-24;1300;;Министерство финансов Республики Саха (Якутия);1435027673;1;98,71;800,77;696,67;904,87;672,65;928,89;648,62;952,92;13,0;110000;16,0;550000;19,0;10,00;10,00
RU000A0ZZ7G1;КАМАЗ БО-7;КАМАЗ ПАО об. БО-07;Корпоративные облигации;RU000A0ZZ7G1;4-07-55010-D;2;1000,0;RUB;3000000;0;0;TQCB;Т+: Облигации - безадрес.;05.05.2033;;24.05.2018;0;;0;0;2;;18.11.2021;6,950;34,65;156;26;182;24.05.2018;1000,0;;2018-05-24;4212;2028-05-16;"Публичное акционерное общество ""КАМАЗ""";1650032058;1;101,49;1044,98;;2089,96;;2089,96;;2089,96;100,0;;;;;10,00;10,00
RU000A0ZZ7H9;КАМАЗ БО-8;КАМАЗ ПАО об. БО-08;Корпоративные облигации;RU000A0ZZ7H9;4-08-55010-D;2;1000,0;RUB;3000000;0;0;TQCB;Т+: Облигации - безадрес.;05.05.2033;;24.05.2018;0;;0;0;2;;18.11.2021;6,950;34,65;156;26;182;24.05.2018;1000,0;;2018-05-24;4212;2028-05-16;"Публичное акционерное общество ""КАМАЗ""";1650032058;1;100,99;1039,98;;2079,96;;2079,96;;2079,96;100,0;;;;;10,00;10,00
RU000A0ZZ877;КАМАЗ БО10;КАМАЗ ПАО об. БО-10;Корпоративные облигации;RU000A0ZZ877;4-10-55010-D;2;1000,0;RUB;3000000;0;0;TQCB;Т+: Облигации - безадрес.;10.05.2033;;29.05.2018;0;2778;0;0;2;;23.11.2021;7,750;38,64;151;31;182;29.05.2018;1000,0;;2018-05-29;4217;;"Публичное акционерное общество ""КАМАЗ""";1650032058;1;99,93;1031,79;;2063,58;;2063,58;;2063,58;100,0;;;;;10,00;10,00
RU000A0ZZ885;КАМАЗ БО-9;КАМАЗ ПАО об. БО-09;Корпоративные облигации;RU000A0ZZ885;4-09-55010-D;2;1000,0;RUB;3000000;0;0;TQCB;Т+: Облигации - безадрес.;10.05.2033;;29.05.2018;0;2772;0;0;2;8,42;23.11.2021;7,750;38,64;151;31;182;29.05.2018;1000,0;;2018-05-29;4217;;"Публичное акционерное общество ""КАМАЗ""";1650032058;1;99,93;1031,79;;2063,58;;2063,58;;2063,58;100,0;;;;;10,00;10,00
RU000A0ZZ893;КАМАЗ БО11;КАМАЗ ПАО об. БО-11;Корпоративные облигации;RU000A0ZZ893;4-11-55010-D;2;1000,0;RUB;3000000;0;0;TQCB;Т+: Облигации - безадрес.;10.05.2033;;29.05.2018;0;2773;0;0;2;7,11;23.11.2021;7,750;38,64;151;31;182;29.05.2018;1000,0;;2018-05-29;4217;;"Публичное акционерное общество ""КАМАЗ""";1650032058;1;99,91;1031,59;;2063,18;;2063,18;;2063,18;100,0;;;;;10,00;10,00
RU000A0ZZ8A2;ПЮДМ БО-П1;ПЮДМ ООО БО-П01;Биржевые облигации;RU000A0ZZ8A2;4B02-01-00361-R-001P;3;50000,0;RUB;2328;0;0;TQIR;Т+ Облигации ПИР - безадрес.;04.05.2023;;30.05.2018;0;508;0;1;12;9,98;10.11.2021;13,000;534,25;12;18;30;30.05.2018;50000,0;;2018-05-30;558;;"Общество с ограниченной ответственностью ""Первый ювелирный – драгоценные металлы""";7703408540;1;101,64;51069,32;;102138,64;;102138,64;;102138,64;100,0;;;;;10,00;10,00
RU000A0ZZ8X4;КраснодКр2;Краснодарский край 35002 обл.;Региональные облигации;RU000A0ZZ8X4;RU35002KND0;1;900,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;03.06.2025;;05.06.2018;0;802;0;0;4;8,48;30.11.2021;7,630;17,12;53;38;91;05.06.2018;1000,0;;2018-06-05;1319;;Министерство финансов Краснодарского края;2308040000;1;98,66;898,29;772,53;1024,05;745,58;1051,0;718,63;1077,95;14,0;200000;17,0;1000000;20,0;10,00;10,00
RU000A0ZZ8Y2;СЛТ Аква обК01;СЛТ Аква обК01;Коммерческая облигация;RU000A0ZZ8Y2;4CDE-01-00388-R;;1000,0;RUB;60000000;0;0;OBBO;ОТС-система: облигации;30.05.2023;;;0;;0;0;4;;30.11.2021;14,000;34,9;53;38;91;;1000,0;;;584;;;;1;;;;;;;;;100,0;;;;;;
RU000A0ZZ984;ГТЛК 1P-10;ГТЛК БО 001P-10;Биржевые облигации;RU000A0ZZ984;4B02-10-32432-H-001P;1;1000,0;RUB;10000000;0;0;TQCB;Т+: Облигации - безадрес.;20.05.2033;;08.06.2018;0;224;0;0;4;5,89;03.12.2021;5,650;14,09;50;41;91;08.06.2018;1000,0;;2018-06-08;4227;2022-06-08;"акционерное общество ""Государственная транспортная лизинговая компания""";7720261827;1;99,14;999,45;879,52;1119,38;849,53;1149,37;819,55;1179,35;12,0;200000;15,0;1000000;18,0;12,00;10,00
RU000A0ZZ992;СберИОС11;Сбербанк ПАО БCО 001P-11R;Биржевые облигации;RU000A0ZZ992;4B021101481B001P;3;1000,0;RUB;280979;0;0;TQCB;Т+: Облигации - безадрес.;24.12.2021;;29.06.2018;0;62;0;0;;0,0;24.12.2021;0,010;0,35;1212;62;1274;29.06.2018;1000,0;;2018-06-08;62;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;124,53;1245,3;;2490,6;;2490,6;;2490,6;100,0;;;;;14,00;10,00
RU000A0ZZ9P8;СамарОбл14;Самарская область 35014 обл.;Региональные облигации;RU000A0ZZ9P8;RU35014SAM0;1;800,0;RUB;8000000;0;0;TQCB;Т+: Облигации - безадрес.;04.06.2026;;14.06.2018;0;864;0;0;4;;09.12.2021;7,450;14,86;44;47;91;14.06.2018;1000,0;;2018-06-14;1685;;Министерство управления финансами Самарской области;6315802231;1;98,87;798,47;;1596,94;;1596,94;;1596,94;100,0;;;;;10,00;10,00
RU000A0ZZ9R4;РЖД 1Р-07R;РЖД БО 001Р-07R;Биржевые облигации;RU000A0ZZ9R4;4B02-07-65045-D-001P;1;1000,0;RUB;10000000;1;0;TQCB;Т+: Облигации - безадрес.;26.05.2033;;14.06.2018;0;869;0;0;2;8,18;09.12.2021;7,300;36,4;135;47;182;14.06.2018;1000,0;;2018-06-14;4233;2024-06-11;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;97,87;1006,1;865,25;1146,95;835,06;1177,14;804,88;1207,32;14,0;200000;17,0;1000000;20,0;10,00;10,00
RU000A0ZZ9W4;УрКаПБО4P;Уралкалий ПАО ПБО-04-P;Биржевые облигации;RU000A0ZZ9W4;4B02-04-00296-A-001P;2;1000,0;RUB;15000000;0;0;TQCB;Т+: Облигации - безадрес.;09.06.2023;;15.06.2018;0;555;0;0;2;8,54;10.12.2021;7,700;38,39;134;48;182;15.06.2018;1000,0;;2018-06-15;594;;"Публичное акционерное общество ""Уралкалий""";5911029807;1;98,94;1018,09;;2036,18;;2036,18;;2036,18;100,0;;;;;15,00;10,00
RU000A0ZZAL5;ГТЛК 1P-11;ГТЛК БО 001P-11;Биржевые облигации;RU000A0ZZAL5;4B02-11-32432-H-001P;1;1000,0;USD;150000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;03.06.2033;;22.06.2018;0;580;0;0;4;2,14;17.12.2021;5,950;14,83;36;55;91;22.06.2018;1000,0;;2018-06-22;4241;2023-06-21;"акционерное общество ""Государственная транспортная лизинговая компания""";7720261827;1;105,68;74828,54;68093,97;81563,11;65849,12;83807,96;63604,26;86052,82;9,0;3000;12,0;15000;15,0;16,00;16,00
RU000A0ZZAT8;ПионЛизБП1;Пионер-Лизинг БО-П01;Биржевые облигации;RU000A0ZZAT8;4B02-01-00331-R-001P;3;1000,0;RUB;100000;0;0;TQCB;Т+: Облигации - безадрес.;31.05.2023;;26.06.2018;0;222;0;0;12;10,63;07.11.2021;12,250;10,07;15;15;30;26.06.2018;1000,0;;2018-06-26;585;2022-06-10;"Общество с ограниченной ответственностью ""Пионер-Лизинг""";2128702350;1;102,14;1027,11;;2054,22;;2054,22;;2054,22;100,0;;;;;10,00;10,00
RU000A0ZZBN9;СберБ Б12R;Сбербанк ПАО БО 001P-12R;Биржевые облигации;RU000A0ZZBN9;4B021201481B001P;1;1000,0;RUB;50000000;1;0;TQCB;Т+: Облигации - безадрес.;02.02.2022;;03.07.2018;0;103;0;0;2;7,87;02.02.2022;7,600;37,9;80;102;182;03.07.2018;1000,0;;2018-07-03;102;;"Публичное акционерное общество ""Сбербанк России""";7707083893;1;99,92;1016,27;873,99;1158,55;843,5;1189,04;813,02;1219,52;14,0;1000000;17,0;5000000;20,0;10,00;10,00
RU000A0ZZBV2;ЕвропланБ8;ПАО ЛК Европлан БО-08;Биржевые облигации;RU000A0ZZBV2;4B02-08-56453-P;1;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;20.06.2028;;03.07.2018;0;69;0;0;2;10,61;28.12.2021;7,400;36,9;116;66;182;03.07.2018;1000,0;;2018-07-03;2432;2021-12-31;"Публичное акционерное общество ""Лизинговая компания ""Европлан""";9705101614;1;99,52;1019,12;;2038,24;;2038,24;;2038,24;100,0;;;;;10,00;10,00
RU000A0ZZC48;КрасЯрКр15;Красноярский край 35015 обл.;Региональные облигации;RU000A0ZZC48;RU35015KNA0;1;600,0;RUB;12000000;0;0;TQCB;Т+: Облигации - безадрес.;26.06.2025;;05.07.2018;0;694;0;0;4;8,31;13.01.2022;7,640;11,3;8;82;90;05.07.2018;1000,0;;2018-07-05;1342;;министерство финансов Красноярского края;2460071533;1;99,15;596,16;536,54;655,78;518,66;673,66;500,77;691,55;10,0;240000;13,0;1200000;16,0;10,00;10,00
RU000A0ZZCH9;ИА ДОМ 5P2;ДОМ.РФ Ипотечный агент 05-002P;Корпоративные облигации;RU000A0ZZCH9;4-05-00307-R-002P;1;353,84;RUB;6187764;0;0;TQCB;Т+: Облигации - безадрес.;28.04.2043;;11.07.2018;0;731;0;0;4;0,0;28.10.2021;8,000;7,13;87;5;92;11.07.2018;1000,0;Облигации с ипотечным покрытием;2018-08-21;7857;;"Общество с ограниченной ответственностью ""ДОМ.РФ Ипотечный агент""";7727290538;1;99,23;358,02;275,68;440,36;264,93;451,11;;716,04;23,0;123755;26,0;618776;100,0;10,00;10,00
RU000A0ZZCX6;РОССИУМ1P1;Концерн РОССИУМ ООО 001P-01;Биржевые облигации;RU000A0ZZCX6;4B02-01-36479-R-001P;3;1000,0;RUB;25000000;0;0;TQCB;Т+: Облигации - безадрес.;30.12.2027;;12.07.2018;0;;0;0;2;;06.01.2022;6,870;34,26;107;75;182;12.07.2018;1000,0;;2018-07-12;2259;;"Общество с ограниченной ответственностью ""Концерн ""РОССИУМ""";5032152372;1;99,67;1017,22;;2034,44;;2034,44;;2034,44;100,0;;;;;10,00;10,00
