rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;ISSUEDATE;EVENINGSESSION;DURATION;IS_QUALIFIED_INVESTORS;HIGH_RISK;COUPONFREQUENCY;YIELDATWAP;COUPONDATE;COUPONPERCENT;COUPONVALUE;COUPONDAYSPASSED;COUPONDAYSREMAIN;COUPONLENGTH;ISSUEDATE;INITIALFACEVALUE;SECSUBTYPE;STARTDATEMOEX;DAYSTOREDEMPTION;OFFERDATE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0
CH1120085688;GAZ-27 CHF;Gaz Finance Plc 1.54 30/06/27;Корпоративные еврооблигации;CH1120085688;;;5000,0;CHF;100000;1;1;RPMO;РЕПО-М - адрес.;30.06.2027;;30.06.2021;0;;1;0;1;;30.06.2022;1,540;77,0;115;250;365;30.06.2021;5000,0;;;2076;;Gaz Capital S.A.;0000095071;1;99,89;385501,3;223590,75;547411,85;212025,72;558976,89;200460,68;570541,92;42,0;2000;45,0;10000;48,0;;
DE000A19YDA9;CRS-23 EUR;CORESTATE Capital 15/04/23;Корпоративные еврооблигации;DE000A19YDA9;;;100000,0;EUR;3000;0;1;RPMO;РЕПО-М - адрес.;15.04.2023;;29.03.2018;0;;1;0;2;;15.04.2022;3,500;1750,0;8;174;182;29.03.2018;100000,0;;;539;;CORESTATE Capital Holding S.A.;0000005281;1;;;;;;;;;100,0;;;;;;
RU000A0JNYN1;МГор48-об;Гор.Обл.Займ Москвы 48 в.;Региональные облигации;RU000A0JNYN1;RU32048MOS0;1;1000,0;RUB;30000000;1;0;TQCB;Т+: Облигации - безадрес.;11.06.2022;;11.12.2006;0;226;0;0;2;7,01;11.12.2021;6,000;30,08;134;49;183;11.12.2006;1000,0;;;231;;Правительство Москвы;7710152113;1;99,29;1015,25;934,03;1096,47;903,57;1126,93;873,12;1157,39;8,0;600000;11,0;3000000;14,0;10,00;10,00
RU000A0JQ5C5;НПФ 01;"""НПФ"" ООО об.сер. 01";Корпоративные облигации;RU000A0JQ5C5;4-01-10013-R;3;1000,0;RUB;40800;0;0;TQIR;Т+ Облигации ПИР - безадрес.;06.05.2029;;07.05.2009;0;;0;1;;;06.05.2029;5,000;1000,55;4552;2752;7304;07.05.2009;1000,0;;;2752;;"Общество с ограниченной ответственностью ""Недвижимость пенсионного фонда""";6658196868;1;100,0;1623,84;;3247,68;;3247,68;;3247,68;100,0;;;;;10,00;10,00
RU000A0JQ7Z2;РЖД-19 обл;"""Российские ЖД"" ОАО 19 обл.";Корпоративные облигации;RU000A0JQ7Z2;4-19-65045-D;2;1000,0;RUB;10000000;1;0;TQCB;Т+: Облигации - безадрес.;08.07.2024;;27.07.2009;0;892;0;0;2;8,09;10.01.2022;7,850;39,14;103;79;182;27.07.2009;1000,0;;;989;;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;99,71;1019,68;876,92;1162,44;846,33;1193,03;815,74;1223,62;14,0;200000;17,0;1000000;20,0;7,00;7,00
RU000A0JQAL8;ДОМ.РФ14об;ДОМ.РФ (АО) обл. сер. А14;Корпоративные облигации;RU000A0JQAL8;4-14-00739-A;1;1000,0;RUB;7000000;1;0;TQCB;Т+: Облигации - безадрес.;15.05.2023;;27.08.2009;0;532;0;0;2;;15.11.2021;7,500;37,81;161;23;184;27.08.2009;1000,0;;;569;;"Акционерное общество ""ДОМ.РФ""";7729355614;1;103,93;1072,79;944,06;1201,52;911,87;1233,71;879,69;1265,89;12,0;140000;15,0;700000;18,0;8,00;8,00
RU000A0JQAM6;ДОМ.РФ15об;ДОМ.РФ (АО) обл. сер. А15;Корпоративные облигации;RU000A0JQAM6;4-15-00739-A;1;1000,0;RUB;7000000;0;0;TQCB;Т+: Облигации - безадрес.;15.09.2028;;27.08.2009;0;1943;0;0;2;;15.03.2022;9,250;45,87;38;143;181;27.08.2009;1000,0;;;2519;;"Акционерное общество ""ДОМ.РФ""";7729355614;1;112,04;1130,54;678,32;1582,76;621,8;1639,28;565,27;1695,81;40,0;200000;45,0;1000000;50,0;10,00;10,00
RU000A0JQRD9;РЖД-23 обл;"""Российские ЖД"" ОАО 23 обл.";Корпоративные облигации;RU000A0JQRD9;4-23-65045-D;2;1000,0;RUB;15000000;1;0;TQCB;Т+: Облигации - безадрес.;16.01.2025;;04.02.2010;0;1047;0;0;2;8,03;20.01.2022;7,850;39,14;93;89;182;04.02.2010;1000,0;;;1181;;"открытое акционерное общество ""Российские железные дороги""";7708503727;1;99,92;1019,63;876,88;1162,38;846,29;1192,97;815,7;1223,56;14,0;300000;17,0;1500000;20,0;7,00;7,00
RU000A0JR4U9;ГлДорога 3;Главная дорога АО об.сер. 03;Корпоративные облигации;RU000A0JR4U9;4-03-12755-A;2;1000,0;RUB;8000000;0;0;TQCB;Т+: Облигации - безадрес.;30.10.2028;;22.11.2010;0;1046;0;0;1;;08.11.2021;4,000;39,89;348;16;364;22.11.2010;1000,0;;2010-12-09;2564;;"Акционерное общество ""Главная дорога""";7726581132;1;90,76;945,96;;1891,92;;1891,92;;1891,92;100,0;;;;;10,00;10,00
RU000A0JR5F7;ДОМ.РФ17об;ДОМ.РФ (АО) обл. сер.А17;Корпоративные облигации;RU000A0JR5F7;4-17-00739-A;1;150,0;RUB;8000000;1;0;TQCB;Т+: Облигации - безадрес.;15.04.2022;;09.02.2011;0;173;0;0;4;6,4;15.01.2022;9,050;3,42;8;84;92;09.02.2011;1000,0;;2011-03-29;174;;"Акционерное общество ""ДОМ.РФ""";7729355614;1;100,71;151,44;127,21;175,67;122,67;180,21;118,12;184,76;16,0;24000;19,0;120000;22,0;8,00;8,00
RU000A0JRDY3;ДОМ.РФ18об;ДОМ.РФ (АО) обл. сер.А18;Корпоративные облигации;RU000A0JRDY3;4-18-00739-A;1;500,0;RUB;7000000;1;0;TQCB;Т+: Облигации - безадрес.;15.07.2023;;05.04.2011;0;461;0;0;4;;15.01.2022;7,710;9,72;8;84;92;05.04.2011;1000,0;;2011-04-22;630;;"Акционерное общество ""ДОМ.РФ""";7729355614;1;99,98;500,96;300,58;701,34;285,55;716,37;270,52;731,4;40,0;100000;43,0;500000;46,0;10,00;10,00
RU000A0JRJB8;ЗСД 01;Запад.скор.диаметр АО об.01;Корпоративные облигации;RU000A0JRJB8;4-01-00350-D;1;1000,0;RUB;5000000;0;0;TQCB;Т+: Облигации - безадрес.;13.05.2031;;07.06.2011;0;2313;0;0;2;;23.11.2021;10,440;52,06;151;31;182;07.06.2011;1000,0;;2011-06-16;3489;;"Акционерное общество ""Западный скоростной диаметр""";7825392577;1;118,96;1233,36;;2466,72;;2466,72;;2466,72;100,0;;;;;40,00;30,00
RU000A0JRJC6;ВолгСпорт1;Волга-Спорт АО обл. 01;Корпоративные облигации;RU000A0JRJC6;4-01-20468-P;1;1000,0;RUB;1400000;0;0;TQCB;Т+: Облигации - безадрес.;04.04.2022;;04.04.2011;0;;0;0;;;04.04.2022;8,770;57,91;78;163;241;04.04.2011;1000,0;;2011-12-16;163;2021-10-28;"Акционерное общество ""Волга-Спорт""";5257116711;1;101,98;1039,02;;2078,04;;2078,04;;2078,04;100,0;;;;;10,00;10,00
